item_no,item,unit,category,city,price,month,year,month_year,year_label
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,300.0,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,300.0,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,240.94,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,154.29,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,138.23,8,2023,2023-08,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,124.07,9,2023,2023-09,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,126.58,10,2023,2023-10,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,122.41,11,2023,2023-11,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,112.92,12,2023,2023-12,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,123.02,1,2024,2024-01,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,137.27,2,2024,2024-02,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,151.52,3,2024,2024-03,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,173.27,4,2024,2024-04,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,157.9,5,2024,2024-05,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,156.59,6,2024,2024-06,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,167.89,7,2024,2024-07,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,175.89,8,2024,2024-08,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,132.89,9,2024,2024-09,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,123.24,10,2024,2024-10,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,123.24,11,2024,2024-11,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,123.24,12,2024,2024-12,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,130.0,1,2025,2025-01,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,138.1,2,2025,2025-02,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,225.65,3,2025,2025-03,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,213.12,4,2025,2025-04,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,188.08,5,2025,2025-05,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,182.54,6,2025,2025-06,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,182.54,7,2025,2025-07,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,181.59,8,2025,2025-08,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,147.38,9,2025,2025-09,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,133.81,10,2025,2025-10,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,135.62,11,2025,2025-11,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,147.44,12,2025,2025-12,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,150.0,1,2026,2026-01,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,181.13,2,2026,2026-02,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bahawalpur,204.65,3,2026,2026-03,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,319.35,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,239.48,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,222.85,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,170.19,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,137.39,8,2023,2023-08,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,124.85,9,2023,2023-09,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,106.27,10,2023,2023-10,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,107.57,11,2023,2023-11,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,116.41,12,2023,2023-12,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,124.72,1,2024,2024-01,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,159.99,2,2024,2024-02,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,195.26,3,2024,2024-03,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,190.19,4,2024,2024-04,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,150.71,5,2024,2024-05,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,194.8,6,2024,2024-06,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,193.1,7,2024,2024-07,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,153.69,8,2024,2024-08,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,132.63,9,2024,2024-09,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,112.92,10,2024,2024-10,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,112.92,11,2024,2024-11,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,112.92,12,2024,2024-12,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,114.09,1,2025,2025-01,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,154.19,2,2025,2025-02,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,232.5,3,2025,2025-03,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,192.14,4,2025,2025-04,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,200.0,5,2025,2025-05,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,174.21,6,2025,2025-06,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,174.21,7,2025,2025-07,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,167.06,8,2025,2025-08,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,126.67,9,2025,2025-09,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,114.74,10,2025,2025-10,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,127.42,11,2025,2025-11,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,130.0,12,2025,2025-12,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,146.8,1,2026,2026-01,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,187.04,2,2026,2026-02,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Bannu,224.89,3,2026,2026-03,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,250.33,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,228.94,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,176.46,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,121.63,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,8,2023,2023-08,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,9,2023,2023-09,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,103.75,10,2023,2023-10,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,96.97,11,2023,2023-11,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,100.61,12,2023,2023-12,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,1,2024,2024-01,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,149.325,2,2024,2024-02,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,192.38,3,2024,2024-03,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,165.52,4,2024,2024-04,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,140.32,5,2024,2024-05,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,138.16,6,2024,2024-06,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,138.16,7,2024,2024-07,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,120.28,8,2024,2024-08,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,9,2024,2024-09,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,10,2024,2024-10,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,11,2024,2024-11,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,12,2024,2024-12,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,106.27,1,2025,2025-01,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,135.47,2,2025,2025-02,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,197.86,3,2025,2025-03,Year2
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,165.1,4,2025,2025-04,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,165.1,5,2025,2025-05,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,162.39,6,2025,2025-06,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,162.39,7,2025,2025-07,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,140.1,8,2025,2025-08,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,119.11,9,2025,2025-09,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,119.11,10,2025,2025-10,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,119.11,11,2025,2025-11,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,119.11,12,2025,2025-12,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,121.41,1,2026,2026-01,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,157.4,2,2026,2026-02,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Faisalabad,200.0,3,2026,2026-03,Year3
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,235.8,4,2023,2023-04,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,249.9,5,2023,2023-05,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,207.11,6,2023,2023-06,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,157.0,7,2023,2023-07,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,135.91,8,2023,2023-08,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,140.0,9,2023,2023-09,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,118.76,10,2023,2023-10,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,115.7,11,2023,2023-11,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,118.98,12,2023,2023-12,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,130.0,1,2024,2024-01,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,163.95999999999998,2,2024,2024-02,Year1
16,Bananas (Kela) Local,1 Dozen,"Fruits, Pulses & Vegetables",Gujranwala,197.92,3,2024,2024-03,Year1
